ObjectID,Title,Classification,Year,Epoch,Movement,Medium,ImageURL
19638.0,Plate (folio 14) from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Linoleum cut from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTU4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=46a406839794cfdc
19639.0,Plate (folio 16) from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Linoleum cut from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTU4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=db8ee49a4585d4e3
19640.0,Plate (folio 18) from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Woodcut from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTU4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d89d1ae513a4f2c8
19641.0,Plate from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Linoleum cut from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTU1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f55c8f8f9d8ae085
19811.0,"Trial proof for We Think Ourselves Kings, plate VII from Miserere",Print,1923,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм",Aquatint with roulette over photogravure,https://www.moma.org/media/W1siZiIsIjIyMDExNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fa534ebccf40b29d
19822.0,"Trial proof for Abandoned, rejected plate from Miserere",Print,1922,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм",Aquatint with roulette over photogravure,https://www.moma.org/media/W1siZiIsIjIyMDExOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2b5935e7bbe4cc0d
20236.0,Caliban from the portfolio Visions of Shakespeare (Shakespeare Visionen),Print,1918,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм",Lithograph,https://www.moma.org/media/W1siZiIsIjExODY3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=234f3d4ed6ea2ff7
21924.0,"Trial proof for Old Mother, Now Cries Alone",Print,1922,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм","Lift ground aquatint, aquatint, and drypoint over photogravure",https://www.moma.org/media/W1siZiIsIjIyMDEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f35c1aeaaeb7fef0
22273.0,Untitled from My Life,Print,1922,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм","Title page with hand additions from a portfolio of twenty etchings, fifteen with drypoint",https://www.moma.org/media/W1siZiIsIjEyMjA4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=64135133a9809a5d
24653.0,"Trial proof for The Bad Grain Will Be Removed Tomorrow I, rejected plate from Miserere",Print,1922,"1915–1939 (Авангард, Конструктивизм, Сюрреализм)","Авангард, Конструктивизм, Сюрреализм","Lift ground aquatint and aquatint over photogravure
",https://www.moma.org/media/W1siZiIsIjIyMDEyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f454458ba88106b9
